long/lat,C/E'd,Uploaded on map,Multiple offices?,The?,Organization Name (English),Organization Name (Chinese),Professional Supervisory Unit (English),Professional Supervisory Unit (Chinese),Organization Origin,Field of Work,Field of Work (Chinese),Registration Location,Date of Registration,Permitted Area(s) of Operation,Website (English),Website (Chinese),Address,Month,Aging,Agriculture,Animal Protection,Arts and Culture,Civil Soc'y Cap'y building,Disabilities,Disaster Relief,Econ. Development,Education,Energy,Environment,Ethnic Affairs,Gender Issues,Health,Human Rights,Infrastructure,Int'l Relations/Exchange,Labor,Law and Governance,LGBTQ Issues,Media,Migrants,Poverty Alleviation,Religion,Rural Issues/Devt,Sport,Technology,Tourism,Trade,Urban Issues/Devt,Youth,ALL OF CHINA,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Xinjiang Bingtuan,Yunnan,Zhejiang,Unknown,Sum sectors,Sum provinces,actarea_ch,Date of Change,Type of change,US Location
"116.448147, 39.908044",x,x,,,American Heart Association,美国心脏协会,Ministry of Science and Technology,科学技术部,United States,"Education, Health, International Relations/Exchange, Technology",促进中美医疗从业者之间的交流合作；与中国政府、非盈利组织以及其他合作伙伴开展为提高心脑疾病生存率、改善患者预后、普及大众对心脑疾病的防治知识等为目的的各类项目，并对项目提供科学技术支持、学术交流和研究、及资金等支持。,Beijing,2019-01-02,China,https://www.heart.org/,,北京市朝阳区 建国门外大街乙12号双子大厦（东塔）十层B108室,25,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,中国境内,,,
"116.44562, 39.909797",x,x,1,,American International Chamber of Commerce (Beijing),美国国际商会,Beijing Commission of Commerce,北京市商务委员会,United States,Trade,从事有关在美国国际商会经营范围内进行中国政策法规允许的业务联络,Beijing,2018-02-12,Beijing,https://aiccus.org/,https://aicc.org.cn/,北京市朝阳区建国门外大街9号齐家园外交公寓7-3-043,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,北京市,,,"LA, NY, SF, DC"
"104.072344, 30.625256",x,x,1,,American International Chamber of Commerce (Sichuan),美国国际商会,Sichuan Department of Commerce,四川省商务厅,United States,Trade,有关中美经贸方面的咨询与联络,Sichuan,2018-03-12,Sichuan,https://aiccus.org/,https://aicc.org.cn/,四川省成都市武侯区 锦绣路1号保利中心C座1801室,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,四川省,,,"LA, NY, SF, DC"
"117.687912, 39.012825",x,x,1,,American International Chamber of Commerce (Tianjin),美国国际商会,Tianjin Commission of Commerce,天津市商务委,United States,Trade,承办本商会对华贸易的联络、咨询工作,Tianjin,2017-05-12,Tianjin,https://aiccus.org/,https://aicc.org.cn/,天津市滨海新区 天津市经济技术开发区第二大街加孚园A座901室,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,天津市,,,"LA, NY, SF, DC"
"116.448110, 39.908322",x,x,,,American Petroleum Institute,美国石油协会,National Energy Administration,国家能源局,United States,Trade,协调中国行业伙伴参加API标准会议、技术研讨会和行业最佳实践分享活动，以促进API标准的开发和应用；组织或参加行业展会或会议；推广API标准和认证及培训项目；为现有中国用户提供本土客户服务。,Beijing,2018-05-25,China,http://www.api.org/,,北京市朝阳区 建国门外大街乙十二号双子座大厦东塔办公楼第25层08A单元,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,中国境内,,,
"104.026307, 30.82036",x,x,,,Animals Asia Foundation,亚洲动物基金有限公司,Sichuan Forestry and Grassland Administration (formerly Sichuan Forestry Administration),四川省林业厅,Hong Kong,Animal Protection,救助和保护黑熊，发展动物福利事业，进行科学研究、学术交流和培训；寻求各界人士的支持和帮助以保护伴侣动物、圈养动物和野生动物，并积极宣传动物保护理念,Sichuan,2017-12-27,Sichuan,https://www.animalsasia.org/,https://www.animalsasia.org/cn/,四川省成都市新都区龙桥镇青桥村一社,12,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,四川省,,,
"116.480578, 39.909873",x,x,,,ApexBrazil,巴西出口投资促进局,Beijing Commission of Commerce,北京市商务委员会,Brazil,Trade,经贸促进领域的业务联络,Beijing,2017-12-11,"Beijing, Chongqing, Fujian, Guangdong, Hubei, Jiangsu, Shanghai, Sichuan",http://www.apexbrasil.com.br/en/home,http://www.apexbrasil.com.br/ch,北京市朝阳区建国路79号13办公2T01内09号房屋,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,,,,,1,,,1,,,,,,,,1,,1,,,,,,,,1,8,"北京市,上海市,江苏省,福建省,湖北省,广东省,重庆市,四川省",,,
"116.427607, 39.907594",x,x,,The,Asia Foundation,亚洲基金会,Chinese People’s Association for Friendship with Foreign Countries,中国人民对外友好协会,United States,"Civil Society Capacity-Building, Disaster Relief, Gender Issues, International Relations/Exchange, Poverty Alleviation, Youth",我们与中方合作伙伴一起，在区域合作和中美交流、灾害管理、公益慈善、儿童福利与未成年人保护、妇女发展与性别平等和扶贫减灾等领域开展工作。,Beijing,2017-06-30,China,http://asiafoundation.org/,,北京市东城区建国门内大街18号恒基中心办公楼1座1905室,6,,,,,1,,1,,,,,,1,,,,1,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,中国境内,,,SF
"121.512211, 31.225460",x,x,,,Asia Industrial Gases Association (AIGA),新加坡亚洲工业气体协会,Shanghai Commission of Commerce,上海市商务委员会,Singapore,"Environment, Health",从事工业气体安全和技术标准的业务联络,Shanghai,2019-01-16,Shanghai,http://www.asiaiga.org/,http://www.asiaiga.org/,上海市浦东新区 张杨路158号2410室,25,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,1,上海市,,,
"117.253193, 39.230829",x,x,,,Asia-Europe-Africa Trade and Investment Alliance Promotion Council,亚欧非贸易投资联合促进会,Tianjin Commission of Commerce,天津市商务委员会,Madagascar,"Arts and Culture, Civil Society Capacity-Building, Economic Development, Trade",促进亚欧非区域华商经贸合作，促进亚欧非华商服务当地经济，联动亚欧非沿线国家经济、文化活跃发展。组织各类会议和考察：国内外展会、采购商对接会、国际商务考察、线上SEO、SNS等多种商机对接等。组织各类文化论坛、金融峰会论坛、国际文化艺术节、国际捐赠、海外华人援助等活动。,Tianjin,2018-08-30,China,,,天津市北辰区科技园高新大道47号办公楼二楼北起3-5门,20,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,中国境内,,,
"116.440822, 39.927576",x,x,,,Asian Federation of Jewelry,亚洲珠宝联合会,Beijing Commission of Commerce,北京市商务委员会,Macau,Trade,从事与珠宝业务相关的联络工作。,Beijing,2017-08-15,"Beijing, Guangdong, Hebei, Shaanxi, Yunnan",,,北京市朝阳区吉庆里14号楼1506,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,1,5,"北京市,河北省,广东省,云南省,陕西省",4/2/2018,address,
"116.458329, 39.957843",x,x,,The,Association For Manufacturing Technology (AMT),机械制造技术协会,Beijing Commission of Science and Technology,北京市科委,United States,"Technology, Trade",有关机械制造技术方面的技术合作和贸易联络,Beijing,2017-12-01,China,http://www.amtchina.org/en/index.asp,http://www.amtchina.org/cn/,北京市朝阳区 东三环北路2号南银大厦2507室,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,中国境内,,,
"116.44147, 39.909717",x,x,,The,"Association for the Promotion of International Trade, Japan (JAPIT)",日本国际贸易促进协会,Beijing Commission of Commerce,北京市商务委员会,Japan,"International Relations/Exchange, Trade",协助东京总部，促进日中友好和经济贸易、技术合作关系的发展的业务联络。,Beijing,2017-12-14,China,,http://www.japitcn.com/top.htm,北京市朝阳区 建国门外大街19号国际大厦A座1801A,12,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,中国境内,,,
"116.437903, 39.911118",x,x,1,,Association Generale Chine-Afrique (Beijing),中国-非洲总商会,Beijing Commission of Commerce,北京市商务委员会,Madagascar,Trade,从事中国与马达加斯加及非洲各国经济、贸易领域的业务联系,Beijing,2017-11-30,Beijing,,http://caga2014.com/index.html,北京市朝阳区 秀水街1号建外外交公寓2号楼2单元071号,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,北京市,,,
"113.319600, 23.116374",x,x,1,,Association Generale Chine-Afrique (Guangdong),中国-非洲总商会,Guangdong Department of Commerce,广东省商务厅,Madagascar,Trade,从事中国与马达加斯加及非洲各国经济、贸易领域的业务联系,Guangdong,2019-03-06,Guangdong,,http://www.cgcca.org/laws_regulations/madagascar ,广东省广州市天河区 广东省广州市天河区华就路12号906室,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,广东省,,,
"123.972381, 47.334039",x,x,,,Association Generale Chine-Afrique (Heilongjiang),中国-非洲总商会,Heilongjiang Department of Commerce,黑龙江省商务厅,Madagascar,Trade,从事中国与马达加斯加及非洲各国经济、贸易领域的业务联系,Heilongjiang,2019-03-22,Heilongjiang,N/A,http://www.cgcca.org/laws_regulations/madagascar ,黑龙江省齐齐哈尔市铁锋区 南马路35号,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,黑龙江省,,,
"124.137815, 39.894598",x,x,1,,Association Generale Chine-Afrique (Liaoning),中国-非洲总商会,Liaoning Department of Commerce,辽宁省商务厅,Madagascar,Trade,从事中国江苏与马达加斯加及非洲各国经济，贸易领域的业务联络。,Liaoning,2018-11-13,Liaoning,,http://caga2014.com/index.html,辽宁省丹东市东港市东港北路61号,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,辽宁省,,,
"104.062446, 30.570355",x,x,1,,Association Generale Chine-Afrique (Sichuan),中国-非洲总商会,Sichuan Department of Commerce,四川省商务厅,Madagascar,Trade,从事中国与马达加斯加及非洲各国经济、贸易领域的业务联系,Sichuan,2018-12-19,Sichuan,,http://caga2014.com/index.html,四川省成都市高新区天府大道北段1700号3栋3单元1607室,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,四川省,,,
"102.761694, 25.047409",x,x,,,Association Generale Chine-Afrique (Yunnan),中国-非洲总商会,Yunnan Department of Commerce,云南省商务厅,Madagascar,Trade,从事中国与马达加斯加及非洲各国经济、贸易领域的业务联系,Yunnan,2019-04-09,Yunnan,N/A,http://www.cgcca.org/laws_regulations/madagascar ,云南省昆明市盘龙区 郭家凹190道路旁峻唯道餐厅2楼办公区域,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,云南省,,,
"119.916012, 31.019204",x,x,,,Association Generale Chine-Afrique (Zhejiang),中国-非洲总商会,Zhejiang Department of Commerce,浙江省商务厅,Madagascar,Trade,从事中国与马达加斯加及非洲各国经济、贸易领域的业务联系,Zhejiang,2019-02-26,Zhejiang,,http://caga2014.com/index.html,浙江省湖州市长兴县长兴经济开发区明珠路1278号长兴世贸大厦15层1505室,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,浙江省,,,
"108.335821, 22.814017",x,x,,,Australia-China Business Club,澳中商贸发展促进会,Guangxi Department of Commerce,广西壮族自治区商务厅,Australia,"Economic Development, Trade",促进澳大利亚、中国之间的经济往来，组织澳大利亚商家参加中国-东盟博览会；组织广西商家参加澳大利亚的大型博览会，为澳中会员提供信息交流平台，组织关于澳大利亚商贸相关的资产信息讲座,Guangxi,2019-10-17,Guangxi,,,广西壮族自治区南宁市青秀区 南宁市民族大道49号广西民族宫商业中心B区综合楼2413号,34,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,广西省,,,
"112.893240, 28.214409",x,x,,,Australia-China Economic Culture And Technology Development Cooperation,澳中经济科技文化促进会,Hunan Department of Science and Technology,湖南省科学技术厅,Australia,"Economic Development, International Relations/Exchange, Law and Governance, Rural Issues/Development, Technology",基础研究项目、高新技术项目、社会发展科技项目、农村科技项目、公共科技服务理论研究、公民科学素质建设、科技服务平台建设、科技 创新政策研究、科技发展趋势研究、宣传服务、科技创新发展及成果推广、基础性科学人才再培训、科学技术交流与合作、科学技术知识的普及。,Hunan,2018-04-11,Hunan,,http://www.acect.cn/,湖南省长沙市岳麓区 长沙麓谷大道662号长沙软件园后栋3栋,16,,,,,,,,1,,,,,,,,,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,5,1,湖南省,,,
"106.581386, 29.561144",x,x,,,Australia-Chongqing Chamber of Commerce,澳大利亚重庆商会,Chongqing Commission of Commerce,重庆市商务委,Australia,Trade,经济、贸易、投资合作活动,Chongqing,2018-11-27,China,,,重庆市渝中区民族路188号环球金融中心37-3,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,中国境内,,,
"112.892979, 28.214664",x,x,,,Austria-China Peaceful Reunification Promotion Association,奥地利中国和平统一促进会,Hunan Office of Overseas Chinese Affairs,湖南省人民政府侨务办公室,Austria,International Relations/Exchange,团结旅澳侨胞及奥地利友好人士，促进祖国和平统一。响应中国“一带一路”大政方针，促进中澳及周边国家文化交流。,Hunan,2019-05-29,Hunan,N/A,N/A,湖南省长沙市岳麓区 长沙高新区麓谷大道662号长沙软件园后栋二楼长沙高新区国际科技商务平台015办公室,29,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,湖南省,,,
"114.527220, 38.052048",x,x,,,Austrian Chinese Business Association,澳中商业协会,Hebei Department of Commerce,河北省商务厅,Australia,Trade,代表澳中协会在境内进行业务联络，产品介绍，政策咨询，市场调研，技术交流等相关事宜。	,Hebei,2018-05-24,Hebei,https://www.acba.at/en/,https://www.acba.at/cn/,河北省石家庄市长安区 广安大街财富大厦裙楼6楼,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,河北省,,,
"121.455676, 31.229181",x,x,,,Better Cotton Initiative,瑞士良好棉花发展协会,Shanghai Commission of Commerce,上海市商务委员会,Switzerland,Trade,从事代表本协会在中国进行棉花及相关产品的业务联络、产品介绍和技术交流,Shanghai,2017-09-12,China,http://bettercotton.org,http://bettercotton.org/chinese/,上海市静安区南京西路1168号中信泰富广场4225室,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,中国境内,,,
"116.456857, 39.948614",x,x,,,Bill and Melinda Gates Foundation,比尔及梅琳达·盖茨基金会,National Health Commission (formerly National Health and Family Planning Commission),国家卫生和计划生育委员会,United States,Health,与中国政府、非营利组织及其他伙伴组织合作，为改善中国及其他发展中国家人民的健康状况和生活质量，提供慈善资金、技术支持、政策研究及信息交流。,Beijing,2017-01-23,China,http://www.gatesfoundation.org/,http://www.gatesfoundation.org/zh/,北京市朝阳区新源南路1-3平安国际金融中心19层01-03单元,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,中国,,,"Seattle, WA; Washington, DC"
"102.669388, 25.038134",x,x,,,Bless China International,福华国际,Yunnan Health Commission (formerly Yunnan Health and Family Planning Commission),云南省卫生和计划生育委员会,Hong Kong,"Disabilities, Health",在滇与公益性事业单位和社会组织开展医疗卫生、残疾人康复及其他公益项目合作。,Yunnan,2017-07-27,Yunnan,http://blesschina.org/wp/,http://blesschina.org/wp/?lang=zh,云南省昆明市西山区秋苑小区秋水台1单元702号,7,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,云南省,,,
"108.355286, 22.826089",x,x,,,Blessing Hands,美国祝福之手,Guangxi Department of Education,广西壮族自治区教育厅,United States,"Education, Health, Infrastructure, Poverty Alleviation",支助贫困学生及家庭：资助高中生和大学生学费、小学生和初中生学习和生活用品、贫困家庭特殊医疗； 改善学校办学条件：资助贫困地区学校教学和课外活动用品、净水设备、图书资料、电脑等。,Guangxi,2017-10-23,"Beijing, Guangdong, Guangxi, Guizhou, Yunnan",http://blessinghands.blogspot.com/,,广西壮族自治区南宁市青秀区 东葛路88号嘉园小区C座801号房,10,,,,,,,,,1,,,,,1,,1,,,,,,,1,,,,,,,,,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,4,5,"湖北省,广西壮族自治区,贵州省,云南省,甘肃省",,,"Morehead, KY"
"106.482933, 29.514408",x,x,,,Bring Me Hope,带给我希望基金会,Chongqing Bureau of Civil Affairs,重庆市民政局,United States,"Arts and Culture, Disabilities, Education, Youth",向孤残儿童提供慈善服务，向孤弃儿童提供助学（提供教育机会），开展益智游戏，提供有趣的手工活动，品格教育，提供文化体验机会，提供特殊教育培训，提高国内社会关爱孤残儿童的意识。,Chongqing,2018-09-04,Chongqing,http://bringmehope.cn/?lang=en,http://bringmehope.cn/,重庆市九龙坡区协信彩云湖1号97栋20-2,21,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,重庆市,,,
"106.531293, 29.604752",x,x,,,British Chinese Society of Health Informatics,英国华人医疗信息协会,Chongqing Health Commission (formerly Chongqing Health and Family Planning Commission),重庆市卫生健康委员会,United Kingdom,"Health, Technology",一、        与政府机构、相关学协会、企业共同举办医疗信息化学术会议和产业论坛，搭建一个促进国内和英国医疗信息化交流和发展的平台 二、        依托英国威尔士数字研究院、英国皇家医学院等资源，组织国内医生和相关从业人员参与培训活动，以开拓国际视野和提升职业技能 三、        利用协会广泛的中英专家资源，为政府、企事业单位、医院提供医疗信息化项目咨询服务,Chongqing,2019-08-21,"Chongqing, Guizhou, Sichuan, Tibet, Yunnan",http://bcshi.org/,http://bcshi.org/?lang=zh,重庆市渝北区民安大道469号龙塔街道办事处二楼,32,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,1,,,2,5,"重庆市,四川省,贵州省,云南省,西藏自治区",,,
"118.062631, 24.594613",x,x,,,BSK International,德国BSK国际教育机构,Fujian Department of Education,福建省教育厅,Germany,"Education, International Relations/Exchange",促进中德高校学术交流、教师交流以及学生培养等方面的中德高等教育交流与合作。,Fujian,2018-10-30,China,https://www.bsk-de.com/en/,https://www.bsk-de.com/zh/,福建省厦门市集美区 杏林湾516号611之2,22,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,中国境内,,,
